obstacle_width,obstacle_height,dino_position_y,distanceFromNextObstacle,speed,label
1100,300,276,1020.2823138719989,20,Jump
1080,300,245,1001.5113578986511,20,Jump
1060,300,217,983.5085154689816,20,Jump
1040,300,192,966.0558990037791,20,Jump
1020,300,170,948.9467845985886,20,Jump
1000,300,152,931.8283103662391,20,Jump
980,300,137,914.641459808159,20,Jump
960,300,125,897.2318540934667,20,Jump
940,300,116,879.4634728060057,20,Jump
920,300,110,861.2200647918046,20,Jump
900,300,108,842.1781284265223,20,Jump
880,300,109,822.4846503126973,20,Jump
860,300,113,802.1028612341437,20,Jump
840,300,120,781.0249675906655,20,Jump
820,300,130,759.2759709091287,20,Jump
800,300,144,736.7061829521997,20,Jump
780,300,161,713.6672894283442,20,Jump
760,300,181,690.3339771443964,20,Jump
740,300,204,666.9452751163321,20,Jump
720,300,230,643.8167441127949,20,Jump
700,300,260,621.2889826803627,20,Jump
680,300,293,600.0408319439603,20,Jump
660,300,310,580.086200490927,20,Run
640,300,310,560.0892785976179,20,Run
620,300,310,540.0925846556311,20,Run
600,300,310,520.0961449578338,20,Run
580,300,310,500.0999900019995,20,Run
560,300,310,480.10415536631217,20,Run
540,300,310,460.10868281309365,20,Run
520,300,310,440.1136216933077,20,Run
500,300,310,420.11903075200007,20,Run
480,300,310,400.12498047485116,20,Run
460,300,310,380.13155617496426,20,Run
440,300,310,360.1388621073821,20,Run
420,300,310,340.14702703389895,20,Run
400,300,310,320.1562118716424,20,Run
380,300,310,300.1666203960727,20,Run
360,300,310,280.178514522438,20,Run
340,300,310,260.1922366251537,20,Run
320,300,310,240.20824298928628,20,Run
300,300,276,221.30521909796886,20,Jump
280,300,245,207.4246851269154,20,Jump
260,300,217,198.2145302443794,20,Jump
240,300,192,193.03885619221847,20,Jump
220,300,170,191.049731745428,20,Jump
200,300,152,190.53608582103286,20,Jump
180,300,137,191.23022773609824,20,Jump
160,300,125,192.41881404893857,20,Jump
140,300,116,193.5355264544471,20,Jump
120,300,110,194.164878389476,20,Jump
100,300,108,193.03885619221847,20,Jump
80,300,109,191.0,20,Jump
60,300,113,188.06647760831805,20,Jump
40,300,120,184.39088914585776,20,Jump
20,300,130,180.27756377319946,20,Jump
0,300,144,175.31685600648902,20,Jump
-20,300,161,171.2337583538947,20,Jump
-40,300,181,169.0,20,Jump
-60,300,204,169.75276139138356,20,Jump
-80,300,230,174.64249196572982,20,Jump
-100,300,260,184.39088914585776,20,Jump
-100,300,293,180.13605968822566,20,Jump
1100,250,310,1021.7631819555841,20,Run
1080,250,310,1001.7983829094555,20,Run
1060,250,310,981.8350166906862,20,Run
1040,250,310,961.8731725128838,20,Run
1020,250,310,941.9129471453293,20,Run
1000,250,310,921.9544457292888,20,Run
980,250,310,901.9977827023745,20,Run
960,250,310,882.0430828479979,20,Run
940,250,310,862.0904824900922,20,Run
920,250,310,842.140130857092,20,Run
900,250,310,822.1921916437786,20,Run
880,250,310,802.2468448052632,20,Run
860,250,310,782.3042886243178,20,Run
840,250,310,762.3647421018367,20,Run
820,250,310,742.4284477308235,20,Run
800,250,310,722.4956747275377,20,Run
780,250,310,702.5667228100118,20,Run
760,250,310,682.6419266350405,20,Run
740,250,310,662.7216610312356,20,Run
720,250,310,642.8063471995279,20,Run
700,250,310,622.8964600958975,20,Run
680,250,310,602.9925372672534,20,Run
660,250,310,583.09518948453,20,Run
640,250,310,563.2051136131489,20,Run
620,250,310,543.323108288245,20,Run
600,250,310,523.4500931320961,20,Run
580,250,310,503.5871324805669,20,Run
560,250,310,483.735464897913,20,Run
540,250,310,463.89654018972806,20,Run
520,250,310,444.07206622349037,20,Run
500,250,310,424.26406871192853,20,Run
480,250,340,410.0,20,Duck
460,250,340,390.51248379533274,20,Duck
440,250,340,371.07950630558946,20,Duck
420,250,340,351.7101079013795,20,Duck
400,250,340,332.41540277189324,20,Duck
380,250,340,313.2091952673165,20,Duck
360,250,340,294.10882339705483,21,Duck
339,250,340,274.19153889206723,21,Duck
318,250,340,254.44842306447882,21,Duck
297,250,340,234.92339176846565,21,Duck
276,250,340,215.67568244936655,21,Duck
255,250,340,196.78668654154427,21,Duck
234,250,340,178.3704011320264,21,Duck
213,250,340,160.58953888718904,21,Duck
192,250,340,143.68020044529447,21,Duck
171,250,340,127.98828071350908,21,Duck
150,250,340,114.0175425099138,21,Duck
129,250,340,102.47438704378767,21,Duck
108,250,340,94.25497334358543,21,Duck
87,250,340,90.27181176868004,21,Duck
66,250,340,91.0823802938856,21,Duck
45,250,340,96.56603957913983,21,Duck
24,250,340,106.0,21,Duck
